time,inputx,predictx,inputy,predicty
0.00164873,0.0300512,0.0335942,0.0134465,0.0112299
0.00264876,0.0297515,0.0436233,0.0136481,0.0101978
0.00364878,0.0294454,0.0581787,0.0138526,0.00857455
0.00464881,0.0291321,0.0456899,0.0140583,0.010824
0.00564885,0.0288118,0.0622576,0.0142619,0.00887461
0.00664888,0.0284864,0.0775191,0.0144643,0.00717022
0.00764891,0.0281572,0.0574711,0.0146613,0.0105345
0.00864894,0.0278262,0.0491506,0.0148547,0.0120846
0.00964898,0.0274948,0.0191595,0.0150404,0.0166252
0.010649,0.0271639,0.0186641,0.0152132,0.0168349
0.011649,0.0268337,0.0181317,0.0153753,0.017046
0.0126491,0.0265055,0.0175695,0.0155238,0.017256
0.0136491,0.0261797,0.0169891,0.0156592,0.0174597
0.0146491,0.0258563,0.0164101,0.0157827,0.0176572
0.0156492,0.0255352,0.0158503,0.0158948,0.0178414
0.0166492,0.0252157,0.0153092,0.0159955,0.0180079
0.0176492,0.0248983,0.0147807,0.0160845,0.0181526
0.0186492,0.0245829,0.0142731,0.016156,0.0182743
0.0196493,0.0242704,0.0138028,0.0162063,0.0183828
0.0206493,0.0239612,0.0133684,0.0162338,0.0184826
0.0218693,0.0236551,0.0129479,0.0162309,0.0185704
0.0228693,0.0233531,0.0125344,0.0161876,0.0186496
0.0238694,0.0230565,0.0121349,0.0160897,0.0187027
0.0248694,0.0227672,0.0117528,0.0159104,0.0186739
0.0258694,0.0224871,0.0113815,0.0156427,0.0185444
0.0268695,0.0222166,0.0110099,0.0153259,0.0183521
0.0278695,0.0219553,0.0106419,0.0149884,0.0180913
0.0288695,0.0217037,0.0102841,0.0146336,0.0177456
0.0298696,0.0214614,0.00992892,0.0142799,0.0173713
0.0308696,0.0212271,0.00957807,0.0139305,0.0169992
0.0318696,0.0210005,0.00925679,0.0135775,0.0166327
0.0328697,0.020781,0.00898024,0.0132313,0.0163012
0.0338697,0.0205684,0.00874426,0.0128964,0.0159982
0.0348697,0.020362,0.0085488,0.0125765,0.0157179
0.0358698,0.0201619,0.00840306,0.0122746,0.0154646
0.0368698,0.0199675,0.0083068,0.011989,0.0152132
0.0378698,0.0197791,0.00824111,0.0117127,0.0149399
0.0388699,0.0195971,0.00819614,0.0114443,0.0146403
0.0398699,0.0194216,0.00817952,0.0111822,0.0143244
0.0408699,0.0192528,0.00819641,0.0109238,0.0140167
0.04187,0.0190906,0.00823225,0.0106683,0.0137301
0.04287,0.0189337,0.00827558,0.0104103,0.0134449
0.04387,0.0187818,0.008344,0.01015,0.013143
0.04487,0.0186343,0.00844871,0.00988229,0.0128206
0.0458701,0.0184911,0.00858057,0.00960758,0.0124918
0.0468701,0.0183528,0.0087326,0.00932317,0.0121633
0.0478701,0.0182203,0.00890486,0.00902631,0.0118219
0.0488702,0.0180939,0.00909642,0.00872028,0.0114605
0.0498702,0.0179728,0.00929502,0.00840738,0.0110747
0.0508702,0.017857,0.00948874,0.00809331,0.0106678
0.0518703,0.0177459,0.00967817,0.00778282,0.0102396
0.0528703,0.0176392,0.00987987,0.00748381,0.00977833
0.0538703,0.0175353,0.0101123,0.00719575,0.00927341
0.0548704,0.0174319,0.0103818,0.00692179,0.00873396
0.0558704,0.017327,0.0106854,0.00666511,0.00817552
0.0568704,0.0172198,0.0110161,0.0064207,0.00760365
0.0578705,0.0171104,0.0113771,0.00618832,0.00704054
0.0588705,0.0169998,0.0117709,0.00596389,0.00650231
0.0598705,0.0168899,0.0121789,0.00574789,0.00599415
0.0608706,0.0167799,0.0125689,0.00553964,0.00551953
0.0618706,0.0166699,0.0129246,0.00534196,0.00508104
0.0628706,0.0165584,0.0132487,0.00515681,0.00468131
0.0638707,0.0164437,0.01355,0.00498449,0.00431121
0.0648707,0.0163252,0.0138453,0.00482389,0.0039592
0.0658707,0.0162023,0.0141454,0.00466805,0.00362305
0.0668708,0.016074,0.0144606,0.00451145,0.00331373
0.0678708,0.0159396,0.0147964,0.00435056,0.00304091
0.0688708,0.015798,0.0151369,0.00418124,0.00280478
0.0698709,0.0156469,0.0154682,0.00399921,0.00261326
0.0708709,0.0154858,0.015796,0.00380241,0.00247338
0.0718709,0.0153153,0.0161216,0.00358538,0.00236719
0.072871,0.0151361,0.0164262,0.00335342,0.00227393
0.073871,0.0149508,0.0166949,0.00310474,0.00217505
0.074871,0.0147624,0.0169123,0.00284157,0.00207355
0.076021,0.0145721,0.0170523,0.00257309,0.00197484
0.0770211,0.0143823,0.0171019,0.00229085,0.00184026
0.0780211,0.014196,0.0170543,0.00198327,0.00164661
0.0790211,0.0140155,0.0169161,0.0016347,0.00138642
0.0800212,0.0138434,0.0167179,0.00124504,0.00105658
0.0810212,0.0136787,0.0164736,0.000830164,0.000681204
0.0820212,0.013521,0.0161907,0.000410996,0.00028317
0.0830213,0.0133693,0.0158862,-2.58574e-06,-0.000133271
0.0840213,0.0132226,0.0155697,-0.000401401,-0.000558551
0.0850213,0.0130807,0.0152532,-0.000769018,-0.000977066
0.0860214,0.0129441,0.0149398,-0.00110087,-0.00138823
0.0870214,0.0128153,0.0146271,-0.00139227,-0.0017809
0.0880214,0.0126956,0.0143163,-0.00163392,-0.00214758
0.0890215,0.0125876,0.0139996,-0.00182725,-0.00250949
0.0900215,0.0124941,0.0136533,-0.00197371,-0.00285988
0.0910215,0.0124173,0.0132534,-0.00206983,-0.00316812
0.0920216,0.0123601,0.0128107,-0.00212509,-0.00343026
0.0930216,0.0123241,0.0123471,-0.00214046,-0.00363632
0.0940217,0.0123092,0.0118734,-0.00212246,-0.00378596
0.0950217,0.0123151,0.011402,-0.00207485,-0.00387695
0.0960217,0.0123408,0.0109516,-0.00200162,-0.00389523
0.0970217,0.0123853,0.010559,-0.00190778,-0.00384645
0.0980218,0.0124471,0.01026,-0.00179892,-0.00374155
0.0990218,0.012524,0.0100659,-0.00168088,-0.00358744
0.100022,0.0126144,0.00997755,-0.00155945,-0.0033901
0.101022,0.0127166,0.00999139,-0.00144004,-0.00315195
0.102022,0.0128292,0.0101076,-0.00132276,-0.00287655
0.103022,0.0129522,0.0103223,-0.00121418,-0.00257591
0.104022,0.0130856,0.0106124,-0.00111561,-0.0022537
0.105022,0.0132289,0.0109571,-0.00102701,-0.00191856
0.106022,0.0133818,0.0113475,-0.00095049,-0.0015905
0.107022,0.0135449,0.0117678,-0.000889427,-0.00127363
0.108022,0.0137176,0.0121962,-0.000845675,-0.00096255
0.109022,0.0138998,0.0126337,-0.000820142,-0.000663701
0.110022,0.0140919,0.0130938,-0.000815158,-0.000389282
0.111022,0.0142924,0.0135712,-0.000828782,-0.000137504
0.112022,0.0145002,0.0140613,-0.000864169,9.92909e-05
0.113022,0.0147139,0.0145714,-0.000923628,0.000321823
0.114022,0.0149317,0.015111,-0.00100806,0.000518907
0.115022,0.015153,0.0156894,-0.00111928,0.000675861
0.116022,0.0153755,0.016304,-0.00125446,0.000801767
0.117022,0.0155979,0.0169544,-0.00141056,0.000906232
0.118022,0.0158205,0.0176353,-0.00158053,0.000981249
0.119022,0.0160428,0.0183226,-0.0017601,0.00100893
0.120023,0.0162651,0.0190098,-0.00194783,0.000980579
0.121023,0.0164874,0.0196978,-0.00214219,0.000905646
0.122023,0.0167094,0.0203683,-0.0023467,0.000786749
0.123023,0.01693,0.0210042,-0.00256014,0.000626267
0.124023,0.0171481,0.021609,-0.00277725,0.000436316
0.12512,0.0173638,0.0222015,-0.00299613,0.000228091
0.12612,0.0175761,0.0227869,-0.00320664,1.85316e-05
0.12712,0.0177856,0.0233612,-0.00342398,-0.000214788
0.12812,0.0179937,0.023928,-0.00366252,-0.00049536
0.12912,0.0181989,0.024488,-0.00391248,-0.000819345
0.13012,0.0183996,0.0250419,-0.004167,-0.00119299
0.13112,0.0185945,0.0255773,-0.00440891,-0.00157544
0.13212,0.0187824,0.0260836,-0.00462266,-0.00192803
0.13312,0.0189636,0.0265695,-0.00480969,-0.00227276
0.13412,0.0191383,0.0270264,-0.00496982,-0.00261615
0.13512,0.0193066,0.0274308,-0.00510278,-0.00294998
0.13612,0.0194694,0.0277757,-0.00521128,-0.00325761
0.137124,0.0196264,0.0280669,-0.00529498,-0.00350605
0.138124,0.0197769,0.0283147,-0.00535417,-0.00368778
0.139124,0.0199204,0.0285234,-0.00538611,-0.00381503
0.140124,0.0200551,0.0286952,-0.00538637,-0.00390539
0.141124,0.0201798,0.0288553,-0.00534996,-0.00397531
0.142124,0.0202936,0.0290261,-0.0052709,-0.00402622
0.143124,0.0203947,0.0292027,-0.00514706,-0.00405963
0.144124,0.0204817,0.0293833,-0.0049851,-0.00408297
0.145124,0.0205542,0.0295747,-0.00479239,-0.00408973
0.146124,0.0206107,0.0297722,-0.00457568,-0.00406457
0.147124,0.0206503,0.0299642,-0.00434304,-0.00399166
0.148124,0.0206729,0.0301396,-0.00409301,-0.00384703
0.149124,0.0206787,0.0302903,-0.00382587,-0.00362599
