time,user_rawx,pred_rawx,usr_rawy,pred_rawy
0.012181,-0.422712,0.000158949,0.61858,0.000364016
0.022299,-0.422712,0.000207541,0.61858,0.000326904
0.032417,-0.422712,0.000345107,0.61858,0.000164652
0.042533,-0.443342,0.00030008,0.61858,0.000261244
0.052651,-0.443342,0.000285289,0.61858,0.000345914
0.062768,-0.422712,0.000355191,0.61858,0.000341606
0.072885,-0.443342,0.000302097,0.61858,0.000430585
0.083003,-0.443342,9.5322e-05,0.61858,0.000771578
0.093122,-0.443342,0.000176416,0.61858,0.000752218
0.103239,-0.443342,0.000146587,0.61858,0.000841999
0.113357,-0.443342,0.000101163,0.61858,0.00093958
0.123475,-0.422712,0.000116255,0.61858,0.00105115
0.133592,-0.443342,6.18217e-05,0.61858,0.00117822
0.143709,-0.443342,-1.43509e-05,0.61858,0.00132038
0.153828,-0.443342,-3.48855e-05,0.63921,0.00151062
0.163919,-0.443342,-0.000109236,0.63921,0.00170462
0.174036,-0.443342,-0.000204225,0.63921,0.00191597
0.184153,-0.443342,-0.000278977,0.63921,0.0021782
0.194273,-0.443342,-0.000380095,0.63921,0.00247005
0.204395,-0.443342,-0.000535171,0.649525,0.00281398
0.214512,-0.443342,-0.000684693,0.670125,0.00325681
0.224628,-0.443342,-0.000857659,0.680441,0.00376092
0.234745,-0.443342,-0.00108751,0.752617,0.00458181
0.244864,-0.443342,-0.00135982,0.793847,0.00557201
0.254982,-0.453627,-0.00176078,0.855708,0.00694347
0.265104,-0.453627,-0.00226729,0.896939,0.00881648
0.274221,-0.453627,-0.00293101,0.9382,0.0113538
0.284339,-0.453627,-0.0038395,0.9588,0.0146433
0.294457,-0.453627,-0.00507673,0.989746,0.0191991
0.304574,-0.453627,-0.006753,0.989746,0.0250629
0.314693,-0.453627,-0.00906817,0.989746,0.0327725
0.32481,-0.453627,-0.0121221,1,0.0429754
0.334927,-0.453627,-0.0164625,1,0.0563388
0.345044,-0.453627,-0.0222282,1,0.0737732
0.355161,-0.453627,-0.0300748,1,0.0967016
0.365281,-0.453627,-0.040822,1,0.126337
0.375398,-0.453627,-0.0551721,1,0.164381
0.385515,-0.453627,-0.0741117,1,0.212039
0.395632,-0.453627,-0.0986576,1,0.269758
0.40575,-0.453627,-0.128684,1,0.335994
0.415868,-0.453627,-0.163698,1,0.406685
0.425988,-0.453627,-0.202382,1,0.476854
0.436106,-0.453627,-0.241782,1,0.541394
0.445224,-0.453627,-0.280028,1,0.597496
0.455342,-0.453627,-0.316036,1,0.64442
0.465459,-0.453627,-0.348151,1,0.682655
0.475576,-0.453627,-0.376533,1,0.713598
0.485693,-0.453627,-0.401873,1,0.738645
0.495809,-0.453627,-0.423287,1,0.758843
0.505926,-0.453627,-0.442482,1,0.775366
0.516013,-0.453627,-0.457359,1,0.788689
0.52613,-0.453627,-0.47204,1,0.799982
0.536248,-0.453627,-0.483714,1,0.809204
0.546365,-0.453627,-0.493677,1,0.816941
0.556482,-0.453627,-0.502663,1,0.823513
0.5666,-0.453627,-0.509839,1,0.829003
0.576718,-0.453627,-0.515931,1,0.833712
0.586838,-0.453627,-0.521708,1,0.837821
0.596955,-0.453627,-0.526037,1,0.841296
0.607073,-0.453627,-0.530499,1,0.8444
0.61719,-0.453627,-0.532586,0.989746,0.845958
0.627307,-0.453627,-0.535861,0.989746,0.84783
0.637424,-0.443342,-0.531936,0.969115,0.847368
0.647543,-0.443342,-0.530485,0.9588,0.84623
0.657662,-0.443342,-0.529219,0.927885,0.84252
0.667782,-0.443342,-0.525885,0.91757,0.83866
0.677899,-0.443342,-0.523117,0.896939,0.833173
0.688016,-0.422712,-0.508393,0.855708,0.823702
0.698133,-0.422712,-0.498988,0.824793,0.811525
0.708251,-0.422712,-0.491044,0.783532,0.79525
0.718369,-0.412397,-0.473463,0.752617,0.775015
0.728486,-0.412397,-0.465589,0.711386,0.750488
0.738603,-0.391766,-0.443913,0.670125,0.719024
0.74872,-0.381481,-0.422915,0.63921,0.684413
0.758839,-0.360851,-0.396866,0.536119,0.616901
0.768957,-0.350536,-0.371318,0.494888,0.548491
0.779074,-0.329936,-0.34293,0.443342,0.467307
0.789192,-0.309305,-0.313378,0.371166,0.3552
0.79931,-0.278359,-0.271414,0.329936,0.250973
0.809427,-0.278359,-0.248358,0.288675,0.140327
0.819544,-0.247444,-0.199601,0.247444,0.020882
0.829662,-0.216529,-0.142536,0.195898,-0.0975299
0.839781,-0.206214,-0.0955307,0.154668,-0.20415
0.839781,-0.164983,-0.0219945,0.0928068,-0.299273
0.849897,-0.134037,0.0472043,0.0515763,-0.36329
0.859984,-0.0928068,0.113531,0.0206305,-0.402078
0.879217,-0.0721763,0.160077,0,-0.41655
0.889335,-0,0.225136,0,-0.410431
0.899452,-0,0.242594,0,-0.393075
0.909569,-0,0.250417,0,-0.372395
0.919688,-0,0.249888,0,-0.34546
0.929808,-0,0.244879,0,-0.318969
0.929808,-0,0.235292,0,-0.291352
0.939927,-0,0.226738,0,-0.264243
0.950043,-0,0.214693,0,-0.239537
0.960159,-0,0.204088,0,-0.217279
0.970276,-0,0.190212,0,-0.197928
0.980393,-0,0.17861,0,-0.181772
0.990509,-0,0.168236,0,-0.167515
1.00063,-0,0.1595,0,-0.155513
1.01075,-0,0.151814,0,-0.145066
1.02086,-0,0.144515,0,-0.13526
1.03098,-0,0.138235,0,-0.126881
1.0411,-0,0.132576,0,-0.119398
1.05021,-0,0.127257,0,-0.112433
1.06033,-0,0.122563,0,-0.106346
1.07045,-0,0.118274,0,-0.100843
1.08056,-0,0.114107,-0.0102847,-0.0977517
1.09068,-0,0.110454,-0.0206,-0.0959481
1.1008,-0,0.10685,-0.0206,-0.0925651
1.11092,-0,0.103831,-0.0515458,-0.0963212
1.12104,-0,0.100614,-0.0515458,-0.0950407
1.13115,-0,0.0977625,-0.0618305,-0.0957116
1.14127,-0,0.0950808,-0.0618305,-0.0956452
1.15139,0.0102847,0.0944171,-0.0618305,-0.0946702
1.16151,0.0206,0.0944652,-0.082461,-0.0977531
1.17162,0.0515458,0.099038,-0.082461,-0.0984629
1.18174,0.0515458,0.0990552,-0.082461,-0.097952
1.19186,0.0721458,0.102858,-0.082461,-0.0984671
1.20199,0.082461,0.105594,-0.0618305,-0.0933443
1.21207,0.082461,0.106345,-0.0618305,-0.0911623
1.22219,0.103092,0.1109,-0.0515458,-0.0873074
1.23231,0.103092,0.112972,-0.0412305,-0.0826291
1.24243,0.123692,0.117272,-0.0102847,-0.0739526
1.25254,0.154637,0.125,0,-0.0672288
1.26266,0.195868,0.134336,0,-0.0619662
1.27278,0.247414,0.147369,0,-0.0571451
1.2829,0.288644,0.161135,0,-0.0530887
1.29301,0.31959,0.174509,0,-0.050354
1.30313,0.350505,0.189685,0,-0.0468753
1.31325,0.391736,0.20761,0,-0.0443845
1.32337,0.453597,0.231476,0,-0.0422596
1.33348,0.494858,0.256495,0,-0.0413203
1.3436,0.525773,0.282703,0.0103153,-0.0387864
1.35372,0.546403,0.30894,0.041261,-0.0302733
1.36384,0.556688,0.333215,0.0721763,-0.0184393
1.37396,0.577319,0.35848,0.0824915,-0.00934928
1.38407,0.608264,0.386307,0.0928068,0.00119065
1.39419,0.608264,0.410867,0.123722,0.0197585
1.40431,0.63918,0.438337,0.154668,0.0410251
1.41443,0.63918,0.462235,0.175268,0.0633746
1.42454,0.63918,0.48308,0.185583,0.0856794
1.43466,0.63918,0.502196,0.195898,0.107617
1.44478,0.65981,0.521939,0.195898,0.12411
1.4549,0.65981,0.53859,0.216529,0.14799
1.46502,0.65981,0.553988,0.226814,0.168702
1.47513,0.65981,0.566654,0.247444,0.193345
1.48525,0.65981,0.577683,0.247444,0.210182
1.49537,0.65981,0.586356,0.257759,0.227479
1.50549,0.65981,0.594132,0.268075,0.244069
1.51561,0.65981,0.600704,0.288675,0.263593
1.52572,0.618549,0.600254,0.288675,0.276248
1.53584,0.618549,0.599925,0.29899,0.290199
1.54596,0.63918,0.602807,0.29899,0.298243
1.55604,0.618549,0.600605,0.31962,0.314965
1.56616,0.608264,0.598737,0.329936,0.326305
1.57628,0.608264,0.59758,0.34022,0.337714
1.58639,0.587634,0.591333,0.360851,0.353468
1.59652,0.546403,0.580355,0.371166,0.364525
1.60663,0.546403,0.572908,0.371166,0.368372
1.61676,0.525773,0.562213,0.371166,0.372185
1.62687,0.494858,0.547359,0.371166,0.374501
1.63699,0.484542,0.534323,0.371166,0.374629
1.64711,0.453597,0.516188,0.371166,0.374247
1.65722,0.453597,0.502405,0.371166,0.37268
1.66734,0.432997,0.486519,0.371166,0.371194
1.67746,0.432997,0.474126,0.360851,0.364922
1.68758,0.422681,0.46199,0.360851,0.362125
1.69769,0.391736,0.443986,0.34022,0.352115
1.70781,0.371136,0.425594,0.329936,0.342764
1.71793,0.371136,0.413714,0.329936,0.337239
1.72805,0.371136,0.402592,0.31962,0.328701
1.73816,0.371136,0.39502,0.31962,0.323968
1.74828,0.371136,0.388535,0.29899,0.314148
1.7584,0.391736,0.38842,0.29899,0.308462
1.76852,0.371136,0.378846,0.29899,0.305706
1.77863,0.371136,0.374063,0.29899,0.302658
1.78875,0.371136,0.37153,0.29899,0.30101
1.79887,0.371136,0.36905,0.29899,0.301181
1.80899,0.371136,0.367538,0.29899,0.299508
1.8191,0.371136,0.366949,0.29899,0.300457
1.82822,0.371136,0.365114,0.29899,0.300445
1.83834,0.371136,0.364266,0.29899,0.301638
1.84846,0.371136,0.362085,0.29899,0.303227
1.85858,0.371136,0.361001,0.29899,0.304414
1.86869,0.371136,0.359924,0.29899,0.305551
1.87881,0.350505,0.352141,0.29899,0.307212
1.88893,0.371136,0.355557,0.29899,0.307533
1.89904,0.350505,0.348067,0.29899,0.3089
1.90916,0.350505,0.344567,0.31962,0.317106
1.91928,0.34019,0.339917,0.31962,0.319942
1.92939,0.34019,0.336458,0.31962,0.322079
1.93951,0.31959,0.32607,0.329936,0.328591
1.94963,0.309275,0.318719,0.34022,0.334049
1.95975,0.288644,0.305903,0.34022,0.336529
1.96987,0.288644,0.300243,0.360851,0.346638
1.96987,0.278329,0.290699,0.360851,0.350769
1.97998,0.288644,0.289355,0.371166,0.358062
1.99921,0.278329,0.281972,0.371166,0.362177
2.00933,0.247414,0.266309,0.391766,0.372592
2.01945,0.226783,0.251663,0.402081,0.380163
2.02957,0.216498,0.240679,0.402081,0.384864
2.03969,0.216498,0.232454,0.422712,0.394941
2.0498,0.185553,0.215816,0.433027,0.40376
2.0498,0.164953,0.200148,0.433027,0.407843
2.05992,0.164953,0.191784,0.443342,0.415815
2.07004,0.154637,0.178138,0.443342,0.419949
2.08015,0.134007,0.160469,0.443342,0.424592
2.09027,0.103092,0.139459,0.463942,0.433542
2.10039,0.103092,0.129234,0.463942,0.437799
2.1105,0.103092,0.120481,0.463942,0.442239
2.12062,0.082461,0.102872,0.463942,0.446097
2.13074,0.082461,0.0956745,0.463942,0.448242
2.14086,0.082461,0.0901332,0.474258,0.453526
2.15098,0.082461,0.0832345,0.474258,0.456969
2.16109,0.082461,0.0792347,0.474258,0.460136
2.17021,0.082461,0.0762801,0.474258,0.463059
2.18033,0.082461,0.0745183,0.474258,0.464492
2.19044,0.082461,0.0738745,0.474258,0.466495
2.20056,0.082461,0.0726176,0.474258,0.468186
2.21068,0.082461,0.0729229,0.474258,0.469502
2.22079,0.082461,0.0732992,0.474258,0.47108
2.23091,0.082461,0.0735485,0.474258,0.471794
2.24104,0.082461,0.0737716,0.474258,0.472431
2.25115,0.082461,0.0741086,0.474258,0.473373
2.26127,0.082461,0.0743083,0.474258,0.473868
2.27139,0.082461,0.0746277,0.474258,0.474673
2.2815,0.082461,0.0748029,0.474258,0.475026
2.29162,0.082461,0.0748911,0.474258,0.475214
2.30174,0.082461,0.0753023,0.474258,0.476063
2.31186,0.082461,0.0754993,0.474258,0.4764
2.32198,0.082461,0.0756715,0.474258,0.476688
2.33207,0.082461,0.0759808,0.474258,0.477211
2.34219,0.082461,0.0761425,0.474258,0.477372
2.3523,0.082461,0.0762848,0.474258,0.477506
2.36242,0.082461,0.0766063,0.474258,0.477976
2.37254,0.082461,0.0767465,0.474258,0.478051
2.38266,0.082461,0.0768944,0.474258,0.47817
2.39278,0.082461,0.0772529,0.474258,0.478565
2.40289,0.082461,0.07744,0.474258,0.478663
2.41301,0.082461,0.0776015,0.474258,0.478731
2.42313,0.082461,0.0779371,0.474258,0.479045
2.43325,0.082461,0.0780944,0.474258,0.479024
2.44337,0.082461,0.0782307,0.474258,0.478991
2.45348,0.082461,0.0785911,0.474258,0.479297
2.4636,0.103092,0.088424,0.494888,0.484255
2.47372,0.103092,0.0913657,0.505173,0.489491
2.48384,0.082461,0.0838946,0.515488,0.494892
2.49396,0.103092,0.0948571,0.536119,0.504166
2.50408,0.123692,0.107203,0.546434,0.512148
2.51419,0.154637,0.125723,0.567034,0.522852
2.52431,0.185553,0.150719,0.587664,0.536032
2.53443,0.216498,0.17738,0.608295,0.549835
2.54454,0.278329,0.220241,0.61858,0.563083
2.55466,0.31959,0.258851,0.61858,0.574938
2.56478,0.371136,0.302247,0.63921,0.588918
2.5749,0.463912,0.368033,0.63921,0.600896
2.58502,0.515458,0.418358,0.63921,0.612863
2.59513,0.546403,0.459798,0.61858,0.621201
2.60525,0.556688,0.490169,0.608295,0.626351
2.61537,0.577319,0.515338,0.608295,0.629728
2.62549,0.587634,0.534836,0.577349,0.62691
2.6356,0.608264,0.551666,0.546434,0.619265
2.64572,0.587634,0.55423,0.515488,0.608901
2.65584,0.608264,0.560502,0.505173,0.596566
2.66596,0.618549,0.562642,0.443342,0.574033
2.67604,0.618549,0.558036,0.371166,0.542712
2.68616,0.608264,0.54721,0.34022,0.513891
2.69628,0.608264,0.538353,0.29899,0.48052
2.7064,0.587634,0.522922,0.247444,0.44102
2.71651,0.587634,0.511375,0.216529,0.407101
2.72663,0.577319,0.498674,0.185583,0.372775
2.73675,0.587634,0.492105,0.154668,0.337942
2.74687,0.546403,0.475616,0.0721763,0.28452
2.75699,0.525773,0.459685,0.041261,0.244986
2.7671,0.515458,0.446445,0.0103153,0.207549
2.77622,0.494858,0.43183,0,0.179475
2.78634,0.484542,0.42019,0,0.160223
2.79646,0.463912,0.408965,0,0.14718
2.80658,0.463912,0.400829,0,0.133871
2.81669,0.463912,0.395754,0,0.125194
2.82681,0.463912,0.391108,0,0.117458
2.83693,0.463912,0.388804,0,0.114992
2.84705,0.463912,0.387807,0,0.114395
2.85717,0.484542,0.393648,0,0.116243
2.86729,0.463912,0.389437,0,0.118659
2.87741,0.463912,0.389526,0,0.121083
2.88753,0.463912,0.390426,0,0.122422
2.89764,0.463912,0.390682,0,0.125027
2.90776,0.463912,0.391173,0,0.126913
2.91788,0.463912,0.392355,0,0.128672
2.92797,0.453597,0.388635,-0.0102847,0.125675
2.93808,0.453597,0.387766,-0.0412305,0.110314
2.9472,0.453597,0.385614,-0.0515458,0.101854
2.95732,0.453597,0.384889,-0.082461,0.0824364
2.96744,0.432997,0.376987,-0.113376,0.0585364
2.97756,0.432997,0.374974,-0.123692,0.0442222
2.98768,0.432997,0.372703,-0.134007,0.0276973
2.9978,0.422681,0.367865,-0.164953,0.000302815
3.00792,0.422681,0.366736,-0.195868,-0.0291125
3.01803,0.422681,0.367182,-0.206183,-0.0514156
3.02815,0.402051,0.358903,-0.226783,-0.0779844
3.03827,0.402051,0.357838,-0.257729,-0.111191
3.04839,0.402051,0.357406,-0.268044,-0.133108
3.0585,0.402051,0.358107,-0.268044,-0.148031
3.06862,0.402051,0.359936,-0.278329,-0.167989
3.07874,0.422681,0.371238,-0.278329,-0.180262
3.08886,0.402051,0.36664,-0.298959,-0.201204
3.09897,0.402051,0.368792,-0.309275,-0.217878
3.10909,0.402051,0.371229,-0.329905,-0.239321
3.11821,0.402051,0.373929,-0.34019,-0.255962
3.12833,0.402051,0.377127,-0.34019,-0.265117
3.13845,0.422681,0.391315,-0.350505,-0.27777
3.14856,0.432997,0.401828,-0.371136,-0.297294
3.15868,0.432997,0.409133,-0.381451,-0.311988
3.1688,0.453597,0.424966,-0.402051,-0.333659
3.17892,0.463912,0.438031,-0.412366,-0.35112
3.18904,0.484542,0.456938,-0.422681,-0.365709
3.19915,0.484542,0.468742,-0.443312,-0.38596
3.20927,0.525773,0.496717,-0.453597,-0.401181
3.21939,0.525773,0.510855,-0.453597,-0.411065
3.2295,0.546403,0.529662,-0.474227,-0.430283
3.23962,0.556688,0.545531,-0.474227,-0.438584
3.24974,0.577319,0.563937,-0.474227,-0.444122
3.25986,0.587634,0.577457,-0.474227,-0.44927
3.25986,0.608264,0.594563,-0.474227,-0.451562
3.26998,0.608264,0.603597,-0.484542,-0.457689
3.28007,0.63918,0.621865,-0.484542,-0.459582
3.29019,0.670095,0.639715,-0.484542,-0.460302
3.30031,0.670095,0.650487,-0.474227,-0.456743
3.31042,0.690725,0.66428,-0.484542,-0.459481
3.32054,0.701041,0.676215,-0.484542,-0.459176
3.33066,0.721671,0.688762,-0.484542,-0.458546
3.34077,0.731956,0.700304,-0.474227,-0.453691
3.35089,0.752586,0.712828,-0.474227,-0.451723
3.36101,0.752586,0.721266,-0.474227,-0.449428
3.37112,0.783502,0.734221,-0.474227,-0.447694
3.38124,0.762902,0.738534,-0.474227,-0.446145
3.39136,0.783502,0.747646,-0.474227,-0.445063
3.40148,0.783502,0.753896,-0.474227,-0.443163
3.4116,0.783502,0.758992,-0.474227,-0.441169
3.42171,0.783502,0.763393,-0.474227,-0.439108
3.43183,0.783502,0.767449,-0.474227,-0.437938
3.44195,0.783502,0.770182,-0.474227,-0.436177
3.45207,0.783502,0.773366,-0.474227,-0.434809
3.46219,0.783502,0.775438,-0.474227,-0.432863
3.4723,0.783502,0.777865,-0.474227,-0.43147
3.48242,0.783502,0.779584,-0.474227,-0.430173
3.49254,0.783502,0.781679,-0.474227,-0.427981
3.50265,0.783502,0.783463,-0.474227,-0.426362
3.51277,0.783502,0.785206,-0.474227,-0.424793
3.52289,0.783502,0.787038,-0.474227,-0.42291
3.53301,0.783502,0.788648,-0.453597,-0.40677
3.54313,0.783502,0.789937,-0.453597,-0.401337
3.55325,0.783502,0.791496,-0.443312,-0.388458
3.56336,0.793817,0.794579,-0.422681,-0.365264
3.57348,0.793817,0.796855,-0.412366,-0.347599
3.5836,0.814447,0.802093,-0.402051,-0.329185
3.59371,0.814447,0.806183,-0.381451,-0.297815
3.60383,0.824763,0.811195,-0.350505,-0.255757
3.61395,0.824763,0.815185,-0.34019,-0.224885
3.62404,0.824763,0.818884,-0.329905,-0.194408
3.63415,0.845363,0.825107,-0.309275,-0.152817
3.64428,0.845363,0.82941,-0.298959,-0.120883
3.65439,0.824763,0.829906,-0.268044,-0.0676737
3.66451,0.793817,0.826431,-0.237098,-0.00777634
3.67463,0.783502,0.821463,-0.226783,0.0311498
3.68474,0.762902,0.812318,-0.195868,0.088354
3.69487,0.752586,0.801916,-0.185553,0.122569
3.70498,0.731956,0.786963,-0.164953,0.159701
3.7151,0.721671,0.769935,-0.154637,0.187879
3.72422,0.701041,0.747204,-0.134007,0.218964
3.73434,0.670095,0.716965,-0.123692,0.238039
3.74446,0.618549,0.674881,-0.113376,0.251919
3.75457,0.608264,0.639621,-0.082461,0.27568
3.76469,0.577319,0.594933,-0.0618305,0.292758
3.77481,0.546403,0.547448,-0.0515458,0.298643
3.78493,0.494858,0.487168,-0.0412305,0.304673
3.79505,0.484542,0.442748,-0.0412305,0.30082
3.80517,0.453597,0.388327,-0.0206,0.309056
3.81528,0.422681,0.334334,-0.0102847,0.312453
3.8254,0.402051,0.28858,0,0.315254
3.83552,0.31959,0.208237,0,0.313189
3.84564,0.278329,0.143703,0,0.306371
3.85576,0.216498,0.0720612,0,0.29742
3.86588,0.164953,0.00340181,0,0.287507
3.87597,0.154637,-0.0300194,0,0.276249
3.88609,0.103092,-0.0822422,0,0.265381
3.8952,0.082461,-0.113609,0,0.252729
3.90532,0.0721458,-0.130836,0,0.239582
3.91544,0.0515458,-0.152235,0,0.226273
3.92556,0.0206,-0.168969,0,0.213589
3.93568,0.0102847,-0.173774,0,0.201607
3.94579,-0,-0.176757,0,0.190505
3.95591,-0,-0.171913,0,0.180367
3.96603,-0,-0.166541,0,0.171019
3.97614,-0,-0.159304,0,0.162528
3.98626,-0,-0.15175,0,0.154839
3.99638,-0,-0.144541,0,0.147847
4.0065,-0,-0.137742,0,0.14148
4.01662,-0,-0.129911,0,0.135732
4.02674,-0,-0.122944,0,0.13046
4.03685,-0,-0.116262,0,0.125654
4.04697,-0,-0.109825,0,0.121313
4.05709,-0,-0.104297,0,0.117281
4.06621,-0,-0.0988888,0,0.11361
4.07633,-0,-0.0944806,0,0.110151
4.08644,-0,-0.0897463,0,0.106992
4.09657,-0,-0.0856768,0,0.104028
4.10668,-0,-0.0819738,0,0.101251
4.1168,-0,-0.0782104,0,0.09867
4.12692,-0,-0.0750237,0,0.0962207
4.13704,-0,-0.0720548,0,0.0939116
4.14716,-0,-0.0689519,0,0.0917529
4.15728,-0,-0.0663507,0,0.0896873
4.16739,-0,-0.0636189,0,0.0877481
4.17751,-0,-0.0615031,0,0.0858862
4.18763,-0,-0.058959,0,0.0841213
4.19774,-0,-0.056819,0,0.082438
4.20786,-0,-0.0548682,0,0.0808297
4.21798,-0,-0.0527263,0,0.0792921
4.2281,-0,-0.0509947,0,0.0778177
4.23722,-0,-0.0493602,0,0.0764033
4.24734,-0,-0.04751,0,0.0750456
4.25746,-0,-0.0460369,0,0.0737386
4.26757,-0,-0.0443812,0,0.0724811
4.27769,-0,-0.0431928,0,0.0712794
4.28781,-0,-0.0415838,0,0.0700942
4.29793,-0,-0.0402789,0,0.0689648
4.30801,-0,-0.0391043,0,0.0678778
4.31813,-0,-0.0377026,0,0.0668076
4.32822,-0,-0.0366439,0,0.0657893
4.33834,-0,-0.0356385,0,0.0648028
4.34846,-0,-0.0343962,0,0.0638279
4.35858,-0,-0.0334748,0,0.0628985
4.36869,-0,-0.0323611,0,0.0619809
4.37881,-0,-0.0316352,0,0.0611217
4.38893,-0,-0.030514,0,0.0602334
4.39905,-0,-0.0296452,0,0.059397
4.40916,-0,-0.0288808,0,0.0585919
4.41928,-0,-0.0278794,0,0.0577713
4.4294,-0,-0.0271853,0,0.0570073
4.43952,-0,-0.0265244,-0.0412305,0.0478107
4.44963,-0,-0.0256917,-0.0515458,0.0436556
