time,inputx,predictx,inputy,predicty
0.00103582,0.00446346,5.26452e-05,-0.010647,0.000228153
0.00203586,0.00427959,0.000107296,-0.0104109,0.000227055
0.00303591,0.00410155,0.00031067,-0.01019,0.000225243
0.00403596,0.00392899,0.000254167,-0.00998316,0.000225863
0.005036,0.00376068,0.000219648,-0.00978698,0.000226201
0.00603605,0.00359529,0.00027855,-0.00959649,0.000225759
0.0070361,0.00343243,0.000259228,-0.00941149,0.000225793
0.00803615,0.00327117,-4.4634e-05,-0.00923707,0.000227384
0.0090362,0.00311072,7.54547e-05,-0.00908028,0.000225247
0.0100363,0.00295202,7.66555e-05,-0.00894666,0.000224235
0.0110363,0.00279595,7.78355e-05,-0.00883731,0.000223324
0.0120541,0.00264225,7.91785e-05,-0.00875428,0.000222545
0.0130541,0.00249122,8.05155e-05,-0.00869998,0.000221801
0.0140542,0.002344,8.17235e-05,-0.00867538,0.000221002
0.0150542,0.00220132,8.29655e-05,-0.00868185,0.000220242
0.0160543,0.00206342,8.43111e-05,-0.00871401,0.000219419
0.0170543,0.00193036,8.5714e-05,-0.00876127,0.000218236
0.0180544,0.0018028,8.71331e-05,-0.00882003,0.000216862
0.0190544,0.00168172,8.84987e-05,-0.00889149,0.000215507
0.0200544,0.00156668,8.9828e-05,-0.00897076,0.000214032
0.0210545,0.00145592,9.12363e-05,-0.00904991,0.000212391
0.0220545,0.00134789,9.27824e-05,-0.00912439,0.000210694
0.0230587,0.00124221,9.44569e-05,-0.00919713,0.000208993
0.0240588,0.00113926,9.62229e-05,-0.00927422,0.000207357
0.0250588,0.00103832,9.80776e-05,-0.00935431,0.000205858
0.0260588,0.00093779,0.000100083,-0.00943182,0.000204551
0.0270589,0.000837289,0.000102148,-0.00950239,0.000203543
0.0280589,0.000738229,0.000104145,-0.00956291,0.000202705
0.0290589,0.000641788,0.000106173,-0.00960895,0.000201756
0.030059,0.000547837,0.000108316,-0.00963536,0.000200686
0.031059,0.000456949,0.00011045,-0.00964213,0.000199691
0.032059,0.000371281,0.000112493,-0.00963359,0.000198923
0.0330591,0.000293307,0.000114598,-0.00961137,0.000198334
0.0340591,0.000224667,0.000116828,-0.00957365,0.000198016
0.0350591,0.000166833,0.000119001,-0.00951874,0.000198147
0.0360592,0.000121303,0.000121064,-0.00944376,0.000198524
0.0370592,8.85923e-05,0.000123103,-0.00934516,0.0001989
0.0380592,6.80741e-05,0.000125141,-0.00922376,0.000199455
0.0390593,5.76525e-05,0.000127206,-0.00908187,0.000200283
0.0400593,5.41059e-05,0.000129459,-0.0089173,0.000201179
0.0410593,5.44909e-05,0.000132076,-0.00872883,0.000202232
0.0420594,5.6581e-05,0.000135147,-0.00851998,0.000203599
0.0430594,5.93839e-05,0.000138558,-0.00829359,0.000204986
0.0440594,6.2761e-05,0.000142014,-0.00805343,0.000206287
0.0450595,6.558e-05,0.000145408,-0.00780907,0.000207897
0.0460595,6.58454e-05,0.000148703,-0.00756911,0.000209871
0.0470595,6.2464e-05,0.000151701,-0.00733486,0.000211921
0.0480596,5.47672e-05,0.000154473,-0.00710648,0.000214124
