time,user_rawx,pred_rawx,usr_rawy,pred_rawy
0.00130872,0.06303,0.0719447,0.0164792,0.0180512
0.00230874,0.0633321,0.0766101,0.0159652,0.0184815
0.00330877,0.0636376,0.0728104,0.0154567,0.017261
0.00430881,0.063946,0.0924798,0.0149467,0.0208353
0.00530884,0.0642557,0.0723285,0.0144342,0.0164744
0.00630887,0.0645645,0.052271,0.0139129,0.0118464
0.0073089,0.064872,0.0654452,0.0133829,0.0137538
0.00830892,0.0651777,0.0578138,0.0128462,0.0115766
0.00930895,0.0654817,0.0671066,0.012298,0.0127715
0.010309,0.0657857,0.067423,0.0117442,0.0122028
0.011309,0.0660903,0.0677472,0.0111806,0.0116282
0.012309,0.0663951,0.0680778,0.0106076,0.0110459
0.0133091,0.0667013,0.0684196,0.0100275,0.0104575
0.0143091,0.0670094,0.0687635,0.00943568,0.0098548
0.0153091,0.0673201,0.0691071,0.00883843,0.00925099
0.0163092,0.067635,0.0694627,0.00823675,0.0086482
0.0173092,0.0679547,0.0698306,0.00762928,0.00803744
0.0183092,0.0682791,0.0702001,0.00701598,0.00742235
0.0193093,0.0686075,0.0705628,0.00639275,0.00678976
0.0203093,0.0689388,0.0709165,0.00575587,0.00613245
0.0213094,0.0692732,0.0712633,0.00510798,0.00545838
0.0223094,0.0696101,0.0716063,0.00444604,0.00477284
0.0233094,0.06995,0.0719562,0.0037776,0.00409722
0.0243095,0.0702942,0.0723206,0.00310967,0.00343873
0.0253095,0.070643,0.0726991,0.00244494,0.0028009
0.0263095,0.0709988,0.0730943,0.00180009,0.0022056
0.0273096,0.0713626,0.0735073,0.00117725,0.00164327
0.0283096,0.0717357,0.0739337,0.000579094,0.00111236
0.0293096,0.0721183,0.0743648,1.4141e-05,0.000619523
0.0303096,0.0725084,0.074785,-0.000523654,0.000137457
0.0313097,0.0729038,0.0751868,-0.0010327,-0.00032811
0.0323097,0.0733026,0.0755656,-0.00151061,-0.000765566
0.0333097,0.0737025,0.0759192,-0.00196365,-0.00119763
0.0343098,0.0741024,0.0762665,-0.00239869,-0.00162552
0.0353098,0.074503,0.0766231,-0.00281969,-0.00204658
0.0363099,0.0749041,0.0769889,-0.00323092,-0.00248361
0.0373099,0.0753061,0.0773608,-0.0036435,-0.00293546
0.0383099,0.0757076,0.0777341,-0.00405039,-0.0033739
0.03931,0.0761072,0.0781008,-0.00445521,-0.00381218
0.04031,0.0765036,0.0784526,-0.00486514,-0.00425767
0.04131,0.0768953,0.0787855,-0.00527377,-0.00469852
0.0423101,0.0772819,0.0791064,-0.00569569,-0.00515838
0.0433101,0.0776618,0.0794225,-0.00612484,-0.00563331
0.0443102,0.0780334,0.0797284,-0.00656406,-0.0061171
0.0453102,0.0783942,0.0800147,-0.00701421,-0.0066065
0.0463102,0.0787421,0.0802792,-0.00746429,-0.00708121
0.0473103,0.0790771,0.0805313,-0.00792165,-0.00755448
0.0483103,0.0793989,0.0807814,-0.00837946,-0.00802606
0.0493103,0.0797088,0.0810392,-0.00884003,-0.00849533
0.0503103,0.0800075,0.0813147,-0.00930335,-0.00897634
0.0513104,0.0802974,0.0816038,-0.00976925,-0.00946515
0.0523104,0.0805795,0.0819006,-0.010243,-0.00995905
0.0533104,0.0808559,0.0822058,-0.0107184,-0.0104521
0.0543105,0.0811279,0.0825104,-0.0111962,-0.0109483
0.0553105,0.0813931,0.0828023,-0.0116753,-0.0114412
0.0563106,0.0816514,0.0830778,-0.0121485,-0.0119143
0.0573106,0.0819015,0.0833239,-0.0126207,-0.0123822
0.0583106,0.0821414,0.0835359,-0.013088,-0.0128437
0.0593107,0.0823711,0.0837314,-0.0135465,-0.0132903
0.0603107,0.0825882,0.0839113,-0.0139915,-0.0137193
0.0613107,0.0827908,0.084068,-0.014416,-0.0141124
0.0623107,0.0829779,0.084202,-0.0148154,-0.0144607
0.0633108,0.0831486,0.0843128,-0.0151832,-0.0147651
0.0643108,0.0833035,0.0844108,-0.0155119,-0.0150226
0.0653108,0.0834422,0.0845047,-0.0157948,-0.0152322
0.0663109,0.0835644,0.0845925,-0.0160298,-0.0153863
0.0673109,0.0836704,0.0846633,-0.0162119,-0.0154844
0.0683109,0.0837589,0.0847074,-0.0163453,-0.0155476
0.069311,0.0838302,0.0847325,-0.0164327,-0.0155868
0.070311,0.0838842,0.084743,-0.0164779,-0.0156007
0.071311,0.0839203,0.0847322,-0.0164863,-0.0155911
0.0723111,0.0839388,0.0846981,-0.0164596,-0.0155576
0.0733111,0.0839384,0.0846437,-0.0164016,-0.0155013
0.0743111,0.0839202,0.0845762,-0.0163136,-0.0154201
0.0753112,0.0838853,0.084499,-0.0161982,-0.0153076
0.0763112,0.0838359,0.0844122,-0.0160547,-0.0151712
0.0773112,0.0837734,0.0843233,-0.0158905,-0.0150248
0.0783113,0.0836979,0.0842325,-0.015709,-0.0148715
0.0793113,0.0836099,0.0841254,-0.0155183,-0.0147261
0.0803113,0.0835084,0.0839825,-0.0153316,-0.0146032
0.0813114,0.0833921,0.0838031,-0.0151496,-0.0144961
0.0823114,0.0832608,0.0836005,-0.0149785,-0.0144103
0.0833114,0.0831133,0.0833735,-0.0148216,-0.0143327
0.0843115,0.0829486,0.0831232,-0.01467,-0.0142384
0.0853115,0.0827681,0.0828596,-0.0145283,-0.0141431
0.0863115,0.0825725,0.0825853,-0.0143935,-0.0140405
0.0873116,0.0823627,0.0823102,-0.0142569,-0.0139225
0.0883116,0.0821409,0.082042,-0.0141253,-0.0138137
0.0893117,0.0819077,0.0817698,-0.0139965,-0.0137045
0.0903117,0.0816646,0.0814934,-0.013871,-0.0135895
0.0913117,0.0814143,0.081224,-0.0137479,-0.0134883
0.0923118,0.0811587,0.0809617,-0.0136287,-0.01339
0.0933118,0.0809001,0.0807101,-0.0135053,-0.0132627
0.0943118,0.0806402,0.0804671,-0.0133668,-0.0130995
0.0953118,0.0803785,0.0802237,-0.0132099,-0.0129088
0.0963119,0.0801159,0.0799795,-0.01303,-0.0126798
0.0973119,0.0798528,0.0797321,-0.0128232,-0.0124103
0.0983119,0.0795902,0.0794844,-0.0125894,-0.0121238
0.099312,0.0793298,0.0792533,-0.0123282,-0.0118231
0.100312,0.0790727,0.0790465,-0.0120365,-0.0114935
0.101312,0.0788205,0.0788576,-0.011714,-0.0111326
0.102312,0.0785738,0.0786804,-0.0113632,-0.0107499
0.103312,0.0783337,0.0785135,-0.0109887,-0.0103526
0.104312,0.0781003,0.0783575,-0.0105909,-0.00994337
0.105312,0.0778732,0.0782051,-0.0101728,-0.00951961
