w/o assist,w/ assist,,w/o assist,w/ assist
0.574087714,0.500209754,,0.017021652,0.004067754
0.558692404,0.390511511,,0.014626248,0.00401095
0.580448093,0.553238407,,0.01620128,0.003602331
0.597583101,0.779011304,,0.013319736,0.002941454
0.585789727,0.384544854,,0.012920719,0.003990596
0.594254749,0.377216088,,0.01497583,0.004687634
0.604146234,0.23708952,,0.016604496,0.0055581
0.578538928,0.544385739,,0.011281695,0.002696973
0.581804205,0.473745232,,0.023799976,0.005786211
0.557364503,0.684197283,,0.014142109,0.00290697
